# lag_days = last message in the session minus trigger_received_on (when the bot offered it).
# end_source: last_message is the true end; updated_at is the fallback. They agreed on every row.
# session_id column removed: it identifies a conversation and adds nothing to a lag audit.
# session_id column removed: it identifies a conversation and adds nothing to a lag audit.
flw_id,end_time,end_source,lag_days,within_2d
FLW_cc56a6,2026-07-14T19:06:30.066891+00:00,last_message,0.4151,Y
FLW_4122b1,2026-07-14T12:10:21.289438+00:00,last_message,0.083,Y
FLW_18119d,2026-07-14T22:25:39.105586+00:00,last_message,0.4701,Y
FLW_afdfc8,2026-07-15T09:56:36.842227+00:00,last_message,0.9283,Y
FLW_1e9c0f,2026-07-14T22:20:25.006215+00:00,last_message,0.3978,Y
FLW_c3a092,2026-07-15T06:37:56.080789+00:00,last_message,0.7385,Y
FLW_fa48c0,2026-07-15T06:35:03.729229+00:00,last_message,0.7203,Y
FLW_639cb5,2026-07-15T13:48:38.850734+00:00,last_message,0.9458,Y
FLW_e820f6,2026-07-14T17:42:18.963909+00:00,last_message,0.0983,Y
FLW_d6f644,2026-07-15T11:06:35.272562+00:00,last_message,0.7711,Y
FLW_944a43,2026-07-16T17:25:35.591691+00:00,last_message,2.0241,N
FLW_d71f45,2026-07-15T13:49:16.979850+00:00,last_message,0.8114,Y
FLW_59216d,2026-07-14T20:18:22.852778+00:00,last_message,0.0711,Y
FLW_2d0de6,2026-07-15T02:22:07.278343+00:00,last_message,0.297,Y
FLW_c49322,2026-07-16T20:39:45.979004+00:00,last_message,1.9006,Y
FLW_0b4057,2026-07-15T04:31:21.564505+00:00,last_message,0.0961,Y
FLW_74f7d2,2026-07-15T11:07:54.060145+00:00,last_message,0.1474,Y
FLW_676633,2026-07-15T12:30:23.121411+00:00,last_message,0.053,Y
FLW_e8f3b8,2026-07-15T18:57:54.823899+00:00,last_message,0.2964,Y
FLW_12ac24,2026-07-15T16:14:40.884008+00:00,last_message,0.1365,Y
FLW_ea230f,2026-07-16T07:26:47.321329+00:00,last_message,0.59,Y
FLW_e50f96,2026-07-16T05:45:02.792869+00:00,last_message,0.4929,Y
FLW_b51f01,2026-07-16T11:44:50.504296+00:00,last_message,0.7143,Y
FLW_9d8746,2026-07-15T20:29:00.813449+00:00,last_message,0.0573,Y
FLW_e886e4,2026-07-16T10:56:20.182455+00:00,last_message,0.657,Y
FLW_c309a2,2026-07-17T12:47:03.223808+00:00,last_message,1.393,Y
FLW_c43647,2026-07-16T06:23:37.765120+00:00,last_message,0.0281,Y
FLW_c36d63,2026-07-18T00:16:29.181429+00:00,last_message,1.7449,Y
FLW_62a2e9,2026-07-24T17:33:58.790917+00:00,last_message,8.4232,N
FLW_999f9d,2026-07-16T16:45:44.709889+00:00,last_message,0.2574,Y
FLW_d9c3f6,2026-07-17T06:45:01.499757+00:00,last_message,0.8269,Y
FLW_3a0a3f,2026-07-16T17:31:12.903841+00:00,last_message,0.25,Y
FLW_37164b,2026-07-17T17:04:37.940986+00:00,last_message,1.0104,Y
FLW_7b2c7f,2026-07-18T19:24:05.216216+00:00,last_message,2.0188,N
FLW_b64971,2026-07-17T19:59:12.990121+00:00,last_message,1.0172,Y
FLW_6de54e,2026-07-17T01:14:17.972215+00:00,last_message,0.0706,Y
FLW_13ba66,2026-07-17T19:43:51.956822+00:00,last_message,0.3626,Y
FLW_4cb94a,2026-07-18T14:46:40.947216+00:00,last_message,0.1456,Y
FLW_118852,2026-07-19T13:49:56.269729+00:00,last_message,0.1543,Y
FLW_60582c,2026-07-21T06:09:45.931471+00:00,last_message,1.3053,Y
FLW_f885c2,2026-07-20T15:11:36.067274+00:00,last_message,0.0729,Y
FLW_fcdee7,2026-07-20T19:45:39.271816+00:00,last_message,0.213,Y
FLW_b05d93,2026-07-21T02:38:21.301462+00:00,last_message,0.4869,Y
FLW_9d3718,2026-07-21T12:37:47.440151+00:00,last_message,0.1357,Y
FLW_c41a16,2026-07-21T11:55:42.557733+00:00,last_message,0.09,Y
FLW_a01492,2026-07-21T15:19:46.750601+00:00,last_message,0.0617,Y
FLW_9ff7d7,2026-07-22T16:19:38.148309+00:00,last_message,0.4556,Y
FLW_f43ba3,2026-08-01T11:42:52.672389+00:00,last_message,10.0414,N
FLW_3207ba,2026-07-22T14:32:12.821764+00:00,last_message,0.0592,Y
FLW_48f7c6,2026-07-22T23:32:50.116678+00:00,last_message,0.3303,Y
FLW_c49420,2026-07-22T17:20:08.712953+00:00,last_message,0.0608,Y
FLW_7d9367,2026-07-23T08:37:33.249559+00:00,last_message,0.6667,Y
FLW_00b3de,2026-07-22T18:49:15.511057+00:00,last_message,0.0383,Y
FLW_fa0fa8,2026-07-23T15:05:52.804488+00:00,last_message,0.795,Y
FLW_8b806a,2026-07-24T00:57:38.980641+00:00,last_message,0.6604,Y
FLW_999c30,2026-07-23T13:00:30.479290+00:00,last_message,0.1436,Y
FLW_fd4e03,2026-07-24T08:04:08.098142+00:00,last_message,0.0361,Y
FLW_cd303d,2026-07-24T11:21:16.004717+00:00,last_message,0.0996,Y
FLW_2e2f9f,2026-07-24T20:38:12.595496+00:00,last_message,0.3563,Y
FLW_7567ef,2026-07-25T14:43:13.653432+00:00,last_message,0.1625,Y
