# lag_days = last message in the session minus trigger_received_on (when offered).
# session_id is omitted: it identifies a conversation and adds nothing to a lag audit.
# session_id column removed: it identifies a conversation and adds nothing to a lag audit.
# session_id column removed: it identifies a conversation and adds nothing to a lag audit.
flw_id,end_source,lag_days,within_2d
FLW_24b114,last_message,0.6072,Y
FLW_1f84f5,last_message,0.6092,Y
FLW_8c09b6,last_message,1.0224,Y
FLW_5d12ac,last_message,0.7796,Y
FLW_6cddef,last_message,0.6,Y
FLW_3a24a4,last_message,0.1781,Y
FLW_12e80c,last_message,0.0353,Y
FLW_45fc59,last_message,0.8637,Y
FLW_ef9513,last_message,0.2404,Y
FLW_74b63c,last_message,0.0775,Y
FLW_e9b8aa,last_message,0.0266,Y
FLW_7b7a41,last_message,0.1123,Y
FLW_f014e5,last_message,0.1021,Y
FLW_ce806e,last_message,0.0911,Y
FLW_0c0d0a,last_message,0.1353,Y
FLW_ad7c3b,last_message,0.6295,Y
FLW_74eb66,last_message,0.1237,Y
FLW_050978,last_message,0.1529,Y
FLW_b921f8,last_message,0.0699,Y
FLW_42a5a6,last_message,0.0931,Y
FLW_15c451,last_message,0.1316,Y
FLW_b4445c,last_message,0.042,Y
FLW_d7f29e,last_message,0.1393,Y
FLW_617e3a,last_message,0.5238,Y
FLW_f35907,last_message,0.0872,Y
FLW_6116da,last_message,1.1248,Y
FLW_6cbeb1,last_message,0.5497,Y
FLW_a4cc42,last_message,0.5839,Y
FLW_55f57e,last_message,0.1072,Y
FLW_586169,last_message,0.1379,Y
FLW_8a6383,last_message,1.3044,Y
FLW_637ec8,last_message,0.8809,Y
FLW_1ee1ab,last_message,0.1893,Y
FLW_a1e6a1,last_message,0.1013,Y
FLW_884de9,last_message,0.1446,Y
FLW_945e4d,last_message,0.2499,Y
FLW_ffe755,last_message,0.1111,Y
FLW_7c8500,last_message,0.163,Y
FLW_7a38a1,last_message,0.0983,Y
FLW_544e94,last_message,1.0957,Y
FLW_69867a,last_message,1.3278,Y
FLW_9ee153,last_message,0.0404,Y
